Error initializing card - 1
:2107 ArduSailor Starting...
:2109 Initializing I2C devices...
:8830 Testing device connections...
:8833 MPU6050 connection successful
:8835 Initializing DMP...
:9908 Enabling DMP...
:9910 DMP ready! Waiting for first interrupt...
000000:9912 Rudder to 90
000000:10283 Winch to 115
000000:15497 Enabling GPS...
000000:15499 Done. System ready.
4155.28N, 08737.85W, 41.921413, -87.630882, 858, 1.60, 79.80, 107.01, 189, 137.67, 93.71, 100, 60, 11.32, 364
4155.28N, 08737.85W, 41.921409, -87.630867, 379, 1.70, 91.50, 106.77, 199, 137.30, 92.77, 99, 60, 11.31, 375
4155.28N, 08737.85W, 41.921409, -87.630851, 979, 1.80, 94.40, 110.99, 215, 138.24, 91.64, 99, 60, 11.31, 388
4155.28N, 08737.84W, 41.921405, -87.630828, 619, 1.80, 100.10, 113.79, 222, 138.88, 90.23, 99, 60, 11.32, 401
4155.28N, 08737.84W, 41.921401, -87.630805, 123, 1.80, 103.80, 124.34, 207, 139.82, 88.47, 98, 60, 11.31, 412
4155.28N, 08737.84W, 41.921398, -87.630798, 738, 1.80, 111.70, 121.17, 205, 139.82, 88.47, 96, 60, 11.31, 424
4155.28N, 08737.84W, 41.921390, -87.630775, 359, 1.80, 116.90, 126.40, 197, 140.77, 85.79, 97, 60, 11.31, 435
4155.28N, 08737.84W, 41.921386, -87.630760, 997, 1.80, 120.50, 133.46, 183, 140.66, 84.84, 97, 60, 11.31, 448
4155.28N, 08737.84W, 41.921379, -87.630744, 463, 1.60, 127.60, 130.78, 176, 141.48, 83.48, 96, 60, 11.31, 459
4155.28N, 08737.84W, 41.921367, -87.630729, 123, 1.60, 131.00, 125.23, 186, 141.05, 81.94, 96, 60, 11.31, 472
4155.28N, 08737.84W, 41.921363, -87.630722, 621, 1.60, 125.90, 123.97, 211, 141.67, 81.24, 96, 60, 11.31, 485
4155.28N, 08737.84W, 41.921360, -87.630706, 258, 1.50, 119.70, 126.04, 204, 142.37, 79.60, 97, 60, 11.31, 496
4155.28N, 08737.84W, 41.921356, -87.630699, 858, 1.60, 117.30, 128.61, 237, 142.53, 78.95, 97, 60, 11.31, 509
4155.28N, 08737.84W, 41.921352, -87.630676, 499, 1.80, 122.00, 131.76, 210, 143.43, 77.32, 97, 60, 11.32, 522
4155.28N, 08737.84W, 41.921348, -87.630668, 1088, 1.70, 124.10, 135.76, 250, 143.35, 76.68, 97, 74, 11.31, 531
4155.28N, 08737.83W, 41.921344, -87.630645, 555, 1.70, 130.70, 135.55, 206, 144.38, 75.68, 96, 63, 11.32, 537
4155.28N, 08737.83W, 41.921333, -87.630630, 125, 1.50, 136.90, 133.54, 163, 144.85, 73.46, 96, 60, 11.32, 547
4155.27N, 08737.83W, 41.921325, -87.630630, 737, 1.50, 135.10, 125.55, 200, 144.50, 72.84, 96, 60, 11.31, 560
4155.27N, 08737.83W, 41.921318, -87.630615, 733, 1.80, 126.00, 128.47, 251, 144.08, 71.58, 96, 74, 11.31, 571
4155.27N, 08737.83W, 41.921306, -87.630592, 379, 1.80, 125.40, 128.41, 200, 145.87, 69.34, 98, 63, 11.32, 580
45.43, 68.72, 98, 63, 11.32, 593
4155.27N, 08737.83W, 41.921291, -87.630561, 481, 1.90, 126.30, 119.87, 196, 146.47, 66.51, 97, 60, 11.31, 603
4155.27N, 08737.83W, 41.921283, -87.630554, 1077, 2.30, 125.60, 121.25, 208, 146.43, 65.24, 97, 60, 11.32, 614
48.00, 63.08, 99, 60, 11.31, 626
4155.27N, 08737.82W, 41.921264, -87.630493, 123, 2.50, 110.50, 110.16, 207, 149.42, 60.93, 101, 60, 11.31, 638
4155.27N, 08737.82W, 41.921260, -87.630477, 1091, 2.50, 105.40, 99.24, 251, 149.42, 59.99, 101, 74, 11.32, 650
4155.27N, 08737.82W, 41.921253, -87.630447, 737, 2.30, 102.50, 60.49, 261, 152.12, 58.00, 108, 86, 11.31, 658
4155.27N, 08737.82W, 41.921257, -87.630432, 262, 1.40, 64.70, 79.57, 262, 152.78, 58.07, 105, 73, 11.31, 666
4155.27N, 08737.82W, 41.921260, -87.630416, 856, 1.50, 69.80, 87.05, 255, 154.29, 57.32, 105, 73, 11.32, 679
4155.27N, 08737.82W, 41.921268, -87.630401, 363, 1.70, 77.10, 95.57, 247, 155.79, 57.87, 103, 73, 11.31, 691
4155.27N, 08737.82W, 41.921268, -87.630386, 918, 2.00, 85.90, 101.73, 209, 157.26, 57.20, 103, 61, 11.31, 700
4155.27N, 08737.82W, 41.921268, -87.630363, 501, 2.30, 93.00, 111.41, 219, 158.39, 56.77, 101, 61, 11.31, 712
4155.27N, 08737.82W, 41.921268, -87.630332, 123, 2.40, 107.20, 122.09, 206, 161.09, 55.80, 100, 61, 11.31, 723
4155.27N, 08737.81W, 41.921260, -87.630317, 622, 2.50, 113.90, 140.83, 191, 162.39, 54.18, 98, 61, 11.31, 735
4155.27N, 08737.81W, 41.921249, -87.630294, 262, 2.50, 139.50, 146.52, 180, 163.25, 52.76, 98, 60, 11.31, 747
4155.27N, 08737.81W, 41.921237, -87.630287, 858, 2.40, 148.10, 147.85, 178, 164.09, 51.71, 98, 60, 11.31, 760
4155.27N, 08737.81W, 41.921222, -87.630279, 381, 2.40, 149.30, 152.39, 166, 164.05, 49.37, 96, 60, 11.31, 772
4155.27N, 08737.81W, 41.921211, -87.630271, 977, 2.40, 154.30, 148.61, 179, 165.04, 47.97, 96, 60, 11.31, 785
4155.27N, 08737.81W, 41.921192, -87.630256, 618, 2.40, 155.30, 152.34, 175, 165.05, 45.62, 97, 60, 11.32, 797
4155.27N, 08737.81W, 41.921169, -87.630249, 239, 2.60, 161.50, 156.61, 167, 165.46, 42.76, 96, 60, 11.31, 808
65.82, 41.52, 96, 60, 11.31, 821
4155.26N, 08737.81W, 41.921134, -87.630241, 348, 2.60, 163.80, 160.66, 151, 164.79, 38.95, 90, 60, 11.32, 831
